ID,Probe_Id,Definition,Ontology_Component,Ontology_Process,Ontology_Function,Chromosome,Probe_Coordinates,Cytoband,Probe_Chr_Orientation,RefSeq_ID,Entrez_Gene_ID,Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
LRRC36,ILMN_1774389,"Homo sapiens leucine rich repeat containing 36 (LRRC36), mRNA.",,,,16,65976304-65976353,16q22.1b,+,NM_018296.4,55282,LRRC36,-2.1453858313045497,6.474720297029527,-12.53968266751835,1.6895218518192498e-23,3.694762433523915e-22,42.71369144276135
MAP3K8,ILMN_1741159,"Homo sapiens mitogen-activated protein kinase kinase kinase 8 (MAP3K8), mRNA.",cytosol [goid 5829] [pmid 8226782] [evidence TAS],protein amino acid phosphorylation [goid 6468] [pmid 2072910] [evidence TAS],ATP binding [goid 5524] [evidence IEA]; transferase activity [goid 16740] [evidence IEA]; protein serine/threonine kinase activity [goid 4674] [pmid 8226782] [evidence TAS]; nucleotide binding [goid 166] [evidence IEA]; protein kinase activity [goid 4672] [evidence IEA],10,30790328-30790377,10p11.23a,+,NM_005204.2,1326,MAP3K8,-1.7175327525429624,8.671374777938707,-12.539413463353524,1.691994435320771e-23,3.6960214767068636e-22,42.71223393786449
MS4A6A,ILMN_1721035,"Homo sapiens membrane-spanning 4-domains, subfamily A, member 6A (MS4A6A), transcript variant 3, mRNA.",membrane [goid 16020] [evidence IEA]; integral to membrane [goid 16021] [evidence IEA]; membrane [goid 16020] [evidence IEA]; integral to membrane [goid 16021] [evidence IEA],signal transduction [goid 7165] [evidence IEA]; signal transduction [goid 7165] [evidence IEA],receptor activity [goid 4872] [evidence IEA]; receptor activity [goid 4872] [evidence IEA],11,59697120-59697169,11q12.1d-q12.2a,-,NM_152851.1,64231,MS4A6A,-1.6436419438394392,10.062089602931385,-12.537835570288673,1.706560149172009e-23,3.7236645584117125e-22,42.70369093682565
OBFC2B,ILMN_1704672,"Homo sapiens oligonucleotide/oligosaccharide-binding fold containing 2B (OBFC2B), mRNA.",,,nucleic acid binding [goid 3676] [evidence IEA],12,54909410-54909459,12q13.2c,+,NM_024068.2,79035,OBFC2B,1.0432501930617057,8.710405049673529,12.529955934272925,1.781200527244132e-23,3.882180343775382e-22,42.66102681707391
PEAR1,ILMN_2407669,"Homo sapiens platelet endothelial aggregation receptor 1 (PEAR1), mRNA.",,,,,,1q23.1a,,NM_001080471.1,375033,PEAR1,-1.3706605945258747,6.362923929618213,-12.527663133637668,1.8035275452241396e-23,3.926450750691884e-22,42.64861176871995
DGCR5,ILMN_2221808,Homo sapiens DiGeorge syndrome critical region gene 5 (non-coding) (DGCR5) on chromosome 22.,,,,22,17361966-17362015,22q11.21b,+,NR_002733.1,26220,DGCR5,1.7489078585050786,6.0160551732953165,12.512767973177535,1.9555646752208202e-23,4.252698403647063e-22,42.56794954184257
GSTA4,ILMN_1771964,"Homo sapiens glutathione S-transferase A4 (GSTA4), mRNA.",,metabolism [goid 8152] [evidence IEA]; response to stress [goid 6950] [evidence NR ],transferase activity [goid 16740] [evidence IEA]; glutathione transferase activity [goid 4364] [pmid 11851347] [evidence IDA],6,52950929-52950978,6p12.1d,-,NM_001512.2,2941,GSTA4,-1.6140228950237177,9.123258306264997,-12.496390575250494,2.1376005194894006e-23,4.643383068255404e-22,42.47924465157543
REEP1,ILMN_1733746,"Homo sapiens receptor accessory protein 1 (REEP1), mRNA.",membrane [goid 16020] [evidence IEA]; mitochondrion [goid 5739] [evidence IEA]; integral to membrane [goid 16021] [evidence IEA],,,2,86294886-86294935,2p11.2f,-,NM_022912.1,65055,REEP1,-1.886400682343897,6.939866467761672,-12.490675769126671,2.205040371689308e-23,4.784544726321399e-22,42.44828766430029
CD37,ILMN_1786176,"Homo sapiens CD37 antigen (CD37), mRNA.",plasma membrane [goid 5886] [pmid 8436422] [evidence TAS]; integral to plasma membrane [goid 5887] [pmid 2466944] [evidence TAS]; integral to membrane [goid 16021] [evidence IEA]; integral to membrane [goid 16021] [evidence IEA]; integral to plasma membrane [goid 5887] [pmid 2466944] [evidence TAS]; plasma membrane [goid 5886] [pmid 8436422] [evidence TAS],,,19,54533817-54533866,19q13.33a,+,NM_001774.1,951,CD37,-1.6948573208244726,8.67355850537297,-12.484178570177196,2.2843072280651896e-23,4.9510262890823375e-22,42.4130900396723
SYNC1,ILMN_1771261,"Homo sapiens syncoilin, intermediate filament 1 (SYNC1), mRNA.",,,structural molecule activity [goid 5198] [evidence IEA],1,32918884-32918933,1p35.1b,-,NM_030786.1,81493,SYNC1,-1.5576420982764256,6.65760999697787,-12.475018303709355,2.4009393460045473e-23,5.1922645013206e-22,42.363461255896844
PKHD1,ILMN_1720034,"Homo sapiens polycystic kidney and hepatic disease 1 (autosomal recessive) (PKHD1), transcript variant 1, mRNA.",membrane [goid 16020] [evidence IEA]; integral to membrane [goid 16021] [evidence IEA],,receptor activity [goid 4872] [evidence IEA],6,51588533-51588582,6p12.2a,-,NM_138694.2,5314,PKHD1,-1.1733388128416085,6.723071876529432,-12.473830061106177,2.4164994860011646e-23,5.214404456578114e-22,42.357023182671156
SAC3D1,ILMN_1776674,"Homo sapiens SAC3 domain containing 1 (SAC3D1), mRNA.",,,,11,64568681-64568730,11q13.1c,+,NM_013299.2,29901,SAC3D1,1.218948079402118,8.927514426696932,12.473827796303441,2.4165292400770012e-23,5.214404456578114e-22,42.35701091155477
F13A1,ILMN_1717163,"Homo sapiens coagulation factor XIII, A1 polypeptide (F13A1), mRNA.",extracellular space [goid 5615] [evidence IEA],blood coagulation [goid 7596] [pmid 10801785] [evidence TAS]; peptide cross-linking [goid 18149] [evidence IEA],protein-glutamine gamma-glutamyltransferase activity [goid 3810] [pmid 2877456] [evidence TAS]; acyltransferase activity [goid 8415] [evidence IEA]; transferase activity [goid 16740] [evidence IEA]; calcium ion binding [goid 5509] [evidence IEA],6,6089880-6089929,6p25.1a,-,NM_000129.2,2162,F13A1,-2.202410965304158,7.812740612671651,-12.470502654748062,2.4606120028384646e-23,5.303653194171182e-22,42.338994348843684
NPLOC4,ILMN_1807600,"Homo sapiens nuclear protein localization 4 homolog (S. cerevisiae) (NPLOC4), mRNA.",nucleus [goid 5634] [evidence IEA]; endoplasmic reticulum [goid 5783] [pmid 11574150] [evidence ISS]; intracellular [goid 5622] [evidence IEA]; nuclear envelope-endoplasmic reticulum network [goid 42175] [pmid 11574150] [evidence ISS],ubiquitin cycle [goid 6512] [evidence IEA]; membrane fusion [goid 6944] [pmid 11574150] [evidence ISS]; Golgi organization and biogenesis [goid 7030] [pmid 11574150] [evidence ISS]; protein folding [goid 6457] [evidence IEA]; ER-associated protein catabolism [goid 30433] [pmid 11574150] [evidence ISS],zinc ion binding [goid 8270] [evidence IEA]; metal ion binding [goid 46872] [evidence IEA]; protein binding [goid 5515] [pmid 11574150] [evidence IPI],17,77134616-77134665,17q25.3f,-,NM_017921.1,55666,NPLOC4,1.036007687612928,9.24384469828138,12.46400313810846,2.5491195707308305e-23,5.482295235727398e-22,42.30377618161329
ACAT1,ILMN_1800008,"Homo sapiens acetyl-Coenzyme A acetyltransferase 1 (acetoacetyl Coenzyme A thiolase) (ACAT1), nuclear gene encoding mitochondrial protein, mRNA.",mitochondrion [goid 5739] [pmid 1715688] [evidence TAS],,acyltransferase activity [goid 8415] [evidence IEA]; transferase activity [goid 16740] [evidence IEA]; acetyl-CoA C-acetyltransferase activity [goid 3985] [pmid 1979337] [evidence TAS],11,107522294-107522296:107523207-107523253,11q22.3c,+,NM_000019.2,38,ACAT1,-1.0936437395749845,10.933992372409884,-12.463097941725971,2.561696685802852e-23,5.503270112774925e-22,42.298871097303916
LRRC8C,ILMN_2094396,"Homo sapiens leucine rich repeat containing 8 family, member C (LRRC8C), mRNA.",membrane [goid 16020] [evidence IEA]; integral to membrane [goid 16021] [evidence IEA],,transferase activity [goid 16740] [evidence IEA],1,89952665-89952714,1p22.2c,+,NM_032270.2,84230,LRRC8C,-1.2411144365262148,5.890095563297536,-12.461283151012934,2.5870996531891154e-23,5.551722108192722e-22,42.28903694776395
MOSC2,ILMN_1665775,"Homo sapiens MOCO sulphurase C-terminal domain containing 2 (MOSC2), mRNA.",mitochondrion [goid 5739] [evidence ISS],transport [goid 6810] [evidence IEA],,1,219021878-219021897:219023884-219023913,1q41d,+,NM_017898.3,54996,MOSC2,-1.6052430970633367,7.654367729839662,-12.456421081310893,2.656408781375781e-23,5.6941831798797685e-22,42.262688950826984
GYLTL1B,ILMN_1697916,"Homo sapiens glycosyltransferase-like 1B (GYLTL1B), mRNA.",integral to Golgi membrane [goid 30173] [evidence ISS],carbohydrate biosynthesis [goid 16051] [evidence IEA]; myelination [goid 42552] [evidence ISS]; synaptic transmission [goid 7268] [evidence ISS]; glycosphingolipid biosynthesis [goid 6688] [evidence ISS]; muscle maintenance [goid 46716] [evidence ISS]; glycoprotein biosynthesis [goid 9101] [evidence ISS],"transferase activity, transferring hexosyl groups [goid 16758] [evidence IEA]",11,45906880-45906929,11p11.2c,+,NM_152312.2,120071,GYLTL1B,1.1584815648072038,5.690478159658068,12.449055416798576,2.7649680415982537e-23,5.920373878081536e-22,42.22277103196837
RGS18,ILMN_2101278,"Homo sapiens regulator of G-protein signalling 18 (RGS18), mRNA.",,negative regulation of signal transduction [goid 9968] [evidence IEA],signal transducer activity [goid 4871] [evidence IEA],1,190421142-190421191,1q31.2a,+,NM_130782.2,64407,RGS18,-1.5071312095921243,6.740799397116545,-12.445653986389159,2.816590078742796e-23,6.023010320024572e-22,42.20433601739596
MS4A4A,ILMN_1741712,"Homo sapiens membrane-spanning 4-domains, subfamily A, member 4 (MS4A4A), transcript variant 2, mRNA.",membrane [goid 16020] [evidence IEA]; integral to membrane [goid 16021] [evidence IEA]; membrane [goid 16020] [evidence IEA]; integral to membrane [goid 16021] [evidence IEA],signal transduction [goid 7165] [evidence IEA]; signal transduction [goid 7165] [evidence IEA],receptor activity [goid 4872] [evidence IEA]; receptor activity [goid 4872] [evidence IEA],11,59832682-59832731,11q12.2a,+,NM_148975.1,51338,MS4A4A,-1.2764754408358598,6.5797136795417375,-12.445491237244399,2.819084122074626e-23,6.023010320024572e-22,42.20345393494719
Ells1,ILMN_1672605,"Homo sapiens hypothetical protein Ells1 (Ells1), mRNA.",,,,7,30168829-30168878,7p15.1b,+,NM_152793.1,222166,Ells1,-1.571375987940426,10.320806642837201,-12.444695686214468,2.831307401516771e-23,6.042499969173526e-22,42.19914211307926
ZHX3,ILMN_1774387,"Homo sapiens zinc fingers and homeoboxes 3 (ZHX3), mRNA.",nucleus [goid 5634] [pmid 12659632] [evidence IDA]; intracellular [goid 5622] [evidence IEA],"negative regulation of transcription, DNA-dependent [goid 45892] [pmid 12659632] [evidence IDA]; regulation of transcription, DNA-dependent [goid 6355] [evidence IEA]",sequence-specific DNA binding [goid 43565] [evidence IEA]; transcription factor activity [goid 3700] [pmid 12659632] [evidence IDA]; zinc ion binding [goid 8270] [evidence IEA]; metal ion binding [goid 46872] [evidence IEA]; nucleic acid binding [goid 3676] [evidence IEA]; protein binding [goid 5515] [pmid 12659632] [evidence IPI],20,39240659-39240708,20q12c,-,NM_015035.3,23051,ZHX3,-1.0903091738548119,7.738214484793481,-12.443570566497359,2.848685081403398e-23,6.072935318506041e-22,42.19304399095472
LYSMD2,ILMN_1724493,"Homo sapiens LysM, putative peptidoglycan-binding, domain containing 2 (LYSMD2), mRNA.",,cell wall catabolism [goid 16998] [evidence IEA],,15,49802846-49802895,15q21.2b,-,NM_153374.1,256586,LYSMD2,-1.087307166252545,9.758056225991158,-12.438055277954522,2.9354283467000695e-23,6.251018725185886e-22,42.16315016158429
KCNJ8,ILMN_1735779,"Homo sapiens potassium inwardly-rectifying channel, subfamily J, member 8 (KCNJ8), mRNA.",integral to membrane [goid 16021] [evidence IEA]; membrane fraction [goid 5624] [evidence NR ]; voltage-gated potassium channel complex [goid 8076] [pmid 7890693] [evidence TAS]; membrane [goid 16020] [evidence IEA],ion transport [goid 6811] [evidence IEA]; potassium ion transport [goid 6813] [pmid 7890693] [evidence TAS],voltage-gated ion channel activity [goid 5244] [evidence IEA]; ATP-activated inward rectifier potassium channel activity [goid 15272] [evidence IEA]; potassium ion binding [goid 30955] [evidence IEA],12,21809316-21809365,12p12.1e,-,NM_004982.2,3764,KCNJ8,-1.4468496218486226,8.920612968941322,-12.434156576867386,2.9983385347088215e-23,6.378015976943384e-22,42.142017422197455
MPP1,ILMN_1733675,"Homo sapiens membrane protein, palmitoylated 1, 55kDa (MPP1), mRNA.",membrane fraction [goid 5624] [pmid 1713685] [evidence TAS]; integral to plasma membrane [goid 5887] [pmid 1713685] [evidence TAS]; membrane [goid 16020] [evidence IEA]; intracellular [goid 5622] [pmid 11256614] [evidence IDA],signal transduction [goid 7165] [pmid 1713685] [evidence TAS],guanylate kinase activity [goid 4385] [pmid 1310897] [evidence TAS]; protein binding [goid 5515] [evidence IEA],X,153660447-153660496,Xq28g,-,NM_002436.2,4354,MPP1,-1.305480868646054,8.645254671447121,-12.432860378566074,3.0195521041521673e-23,6.416136613893672e-22,42.13499123486603
SOX4,ILMN_1815745,"Homo sapiens SRY (sex determining region Y)-box 4 (SOX4), mRNA.",nucleus [goid 5634] [evidence IEA],"regulation of transcription, DNA-dependent [goid 6355] [evidence IEA]; transcription [goid 6350] [evidence IEA]",transcription factor activity [goid 3700] [pmid 8268656] [evidence TAS],6,21706556-21706605,6p22.3b,+,NM_003107.2,6659,SOX4,1.365147027474885,9.641725788255076,12.428009936579356,3.100277576690394e-23,6.573330640023104e-22,42.108697985489975
PPAT,ILMN_1674302,"Homo sapiens phosphoribosyl pyrophosphate amidotransferase (PPAT), mRNA.",,purine nucleotide biosynthesis [goid 6164] [pmid 8106516] [evidence TAS]; metabolism [goid 8152] [evidence IEA]; purine base biosynthesis [goid 9113] [evidence IEA]; nucleoside metabolism [goid 9116] [evidence IEA]; glutamine metabolism [goid 6541] [evidence IEA],"transferase activity, transferring glycosyl groups [goid 16757] [evidence IEA]; 4 iron, 4 sulfur cluster binding [goid 51539] [evidence IEA]; iron ion binding [goid 5506] [evidence IEA]; amidophosphoribosyltransferase activity [goid 4044] [pmid 8106516] [evidence TAS]; magnesium ion binding [goid 287] [evidence IEA]",4,56954676-56954725,4q12e,-,NM_002703.3,5471,PPAT,1.2647275384609244,7.355008980151453,12.427108923899684,3.1155095309376344e-23,6.598446001121718e-22,42.10381362670268
SFTPC,ILMN_2206949,"Homo sapiens surfactant, pulmonary-associated protein C (SFTPC), mRNA.",extracellular space [goid 5615] [evidence NR ]; extracellular region [goid 5576] [evidence IEA],regulation of liquid surface tension [goid 50828] [evidence IEA]; respiratory gaseous exchange [goid 7585] [evidence IEA],,8,22077751-22077800,8p21.3a,+,NM_003018.2,6440,SFTPC,-3.595569616534874,13.139233007221907,-12.425324606392874,3.145895751444525e-23,6.655567721704296e-22,42.09414076040462
ICAM2,ILMN_1786823,"Homo sapiens intercellular adhesion molecule 2 (ICAM2), mRNA.",integral to plasma membrane [goid 5887] [pmid 2497351] [evidence TAS]; plasma membrane [goid 5886] [pmid 2497351] [evidence TAS],cell-cell adhesion [goid 16337] [evidence IEA],protein binding [goid 5515] [evidence IEA]; integrin binding [goid 5178] [pmid 2497351] [evidence TAS],17,59433952-59434001,17q23.3b,-,NM_000873.2,3384,ICAM2,-1.3530868382829944,10.728892138791181,-12.42277556111422,3.189820901402421e-23,6.738691748226208e-22,42.080321942143165
IKBKE,ILMN_1755024,"Homo sapiens inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase epsilon (IKBKE), mRNA.",cytoplasm [goid 5737] [evidence NAS],immune response [goid 6955] [pmid 10421793] [evidence NAS]; positive regulation of I-kappaB kinase/NF-kappaB cascade [goid 43123] [pmid 12761501] [evidence IEP]; protein amino acid phosphorylation [goid 6468] [pmid 10882136] [evidence IDA],nucleotide binding [goid 166] [evidence IEA]; signal transducer activity [goid 4871] [pmid 12761501] [evidence IEP]; transferase activity [goid 16740] [evidence IEA]; protein serine/threonine kinase activity [goid 4674] [evidence IEA]; NF-kappaB-inducing kinase activity [goid 4704] [pmid 10882136] [evidence IDA]; ATP binding [goid 5524] [evidence NAS],1,204736599-204736648,1q32.1h,+,NM_014002.2,9641,IKBKE,1.5247103686922507,7.28449317802572,12.422644096600294,3.1921028912562436e-23,6.738691748226208e-22,42.07960923966946
HOXA2,ILMN_1799836,"Homo sapiens homeobox A2 (HOXA2), mRNA.",nucleus [goid 5634] [evidence IEA]; nucleus [goid 5634] [evidence IEA],"regulation of transcription, DNA-dependent [goid 6355] [evidence IEA]; development [goid 7275] [evidence IEA]; regulation of transcription, DNA-dependent [goid 6355] [evidence IEA]; development [goid 7275] [evidence IEA]",sequence-specific DNA binding [goid 43565] [evidence IEA]; transcription factor activity [goid 3700] [evidence IEA]; sequence-specific DNA binding [goid 43565] [evidence IEA]; transcription factor activity [goid 3700] [evidence IEA],7,27106946-27106995,7p15.2a,-,NM_006735.3,3199,HOXA2,-1.2768130005870733,6.136093133981308,-12.417313072135846,3.286031374759e-23,6.921980685100444e-22,42.05070754111362
DENND2A,ILMN_1666503,"Homo sapiens DENN/MADD domain containing 2A (DENND2A), mRNA.",,,,7,139864739-139864788,7q34c,-,NM_015689.2,27147,DENND2A,-1.5468247502013437,9.073856382321813,-12.409711725361609,3.424771567483634e-23,7.185175517194829e-22,42.009494575761224
ZNF408,ILMN_1739618,"Homo sapiens zinc finger protein 408 (ZNF408), mRNA.",nucleus [goid 5634] [evidence IEA]; intracellular [goid 5622] [evidence IEA],"regulation of transcription, DNA-dependent [goid 6355] [evidence IEA]; transcription [goid 6350] [evidence IEA]",zinc ion binding [goid 8270] [evidence IEA]; metal ion binding [goid 46872] [evidence IEA]; DNA binding [goid 3677] [evidence IEA],11,46683788-46683837,11p11.2b,+,NM_024741.1,79797,ZNF408,1.0382414257746309,6.943922020382531,12.409660483425736,3.425726484718499e-23,7.185175517194829e-22,42.009216740777084
AVPI1,ILMN_1671731,"Homo sapiens arginine vasopressin-induced 1 (AVPI1), mRNA.",,,,10,99427209-99427258,10q24.2a,-,NM_021732.1,60370,AVPI1,-1.2228534966306235,11.298213045405216,-12.407490607969327,3.466408935212081e-23,7.262685817484667e-22,41.99745148296153
FGF11,ILMN_1719938,"Homo sapiens fibroblast growth factor 11 (FGF11), mRNA.",extracellular space [goid 5615] [evidence NR ],cell-cell signaling [goid 7267] [pmid 8790420] [evidence TAS]; signal transduction [goid 7165] [pmid 8790420] [evidence TAS],growth factor activity [goid 8083] [pmid 8790420] [evidence TAS],17,7288858-7288907,17p13.1d,+,NM_004112.2,2256,FGF11,1.683170008915809,5.9195374568208345,12.406653121344435,3.482239938924389e-23,7.288017745428756e-22,41.992910481816075
STAC,ILMN_1774127,"Homo sapiens SH3 and cysteine rich domain (STAC), mRNA.",soluble fraction [goid 5625] [pmid 8954993] [evidence TAS],intracellular signaling cascade [goid 7242] [evidence IEA],zinc ion binding [goid 8270] [evidence IEA]; metal ion binding [goid 46872] [evidence IEA]; diacylglycerol binding [goid 19992] [evidence IEA],3,36564237-36564286,3p22.3a-p22.2b,+,NM_003149.1,6769,STAC,-1.3548388634325903,6.4372055694702786,-12.404173090663681,3.529546159589658e-23,7.379099454893185e-22,41.979463073258266
SFTPA2,ILMN_2205012,"Homo sapiens surfactant, pulmonary-associated protein A2 (SFTPA2), mRNA.",cytoplasm [goid 5737] [evidence IEA],regulation of liquid surface tension [goid 50828] [evidence IEA]; respiratory gaseous exchange [goid 7585] [evidence IEA]; phosphate transport [goid 6817] [evidence IEA],calcium ion binding [goid 5509] [evidence IEA]; sugar binding [goid 5529] [evidence IEA],10,81306454-81306503,10q22.3f,-,NM_006926.1,6436,SFTPA2,-3.9850353967389154,10.89431708934773,-12.398662670059256,3.6369746251721894e-23,7.582971444108495e-22,41.94958276394039
CDC42EP2,ILMN_1652777,"Homo sapiens CDC42 effector protein (Rho GTPase binding) 2 (CDC42EP2), mRNA.",cytoskeleton [goid 5856] [evidence IEA]; membrane [goid 16020] [pmid 11035016] [evidence IDA]; cytoplasm [goid 5737] [pmid 11035016] [evidence IDA],regulation of cell shape [goid 8360] [pmid 11035016] [evidence IDA]; positive regulation of actin filament polymerization [goid 30838] [pmid 11035016] [evidence IDA]; positive regulation of pseudopodium formation [goid 31274] [pmid 11035016] [evidence IDA]; actin filament organization [goid 7015] [pmid 11035016] [evidence NAS]; positive regulation of protein complex assembly [goid 31334] [pmid 11584266] [evidence TAS],GTP-Rho binding [goid 17049] [pmid 11035016] [evidence IPI]; protein binding [goid 5515] [pmid 11584266] [evidence IPI],11,64846266-64846315,11q13.1c,+,NM_006779.2,10435,CDC42EP2,-1.5506625837847885,7.490376204821822,-12.398573656504198,3.638736618035126e-23,7.582971444108495e-22,41.94910007245576
TMEM54,ILMN_2059689,"Homo sapiens transmembrane protein 54 (TMEM54), mRNA.",membrane [goid 16020] [evidence IEA]; integral to membrane [goid 16021] [evidence IEA],glycolysis [goid 6096] [evidence IEA],pyruvate kinase activity [goid 4743] [evidence IEA],1,33132955-33132992:33132993-33133004,1p35.1b,-,NM_033504.2,113452,TMEM54,1.4217531669383252,9.954649865402486,12.392961279018449,3.7515764674222176e-23,7.805872341820564e-22,41.91866504277232
GIMAP1,ILMN_1757186,"Homo sapiens GTPase, IMAP family member 1 (GIMAP1), mRNA.",membrane [goid 16020] [evidence IEA]; integral to membrane [goid 16021] [evidence IEA]; endoplasmic reticulum [goid 5783] [evidence IEA],,GTP binding [goid 5525] [evidence IEA],7,150048984-150049033,7q36.1c,+,NM_130759.2,170575,GIMAP1,-1.7489825786301303,6.70949706718227,-12.392856838388779,3.7537092041497913e-23,7.805872341820564e-22,41.91809866040432
GALNT6,ILMN_1677574,"Homo sapiens UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 6 (GalNAc-T6) (GALNT6), mRNA.",integral to membrane [goid 16021] [evidence IEA]; Golgi stack [goid 5795] [evidence IEA]; membrane [goid 16020] [evidence IEA],,"manganese ion binding [goid 30145] [evidence IEA]; transferase activity, transferring glycosyl groups [goid 16757] [evidence IEA]; polypeptide N-acetylgalactosaminyltransferase activity [goid 4653] [pmid 10464263] [evidence TAS]; sugar binding [goid 5529] [evidence IEA]; calcium ion binding [goid 5509] [evidence IEA]",12,50033971-50034020,12q13.13c,-,NM_007210.2,11226,GALNT6,1.8130868712073847,7.3270414666407,12.384866698737875,3.920526640305957e-23,8.1440790603796985e-22,41.87476618250694
S100A3,ILMN_1712545,"Homo sapiens S100 calcium binding protein A3 (S100A3), mRNA.",,,zinc ion binding [goid 8270] [evidence IEA]; calcium ion binding [goid 5509] [evidence IEA],1,151786449-151786498,1q21.3c,-,NM_002960.1,6274,S100A3,-2.7778670420947993,8.196695001176511,-12.376291550690565,4.107832055154364e-23,8.524079616047155e-22,41.828256929034396
KIAA1893,ILMN_1653263,"Homo sapiens G protein-regulated inducer of neurite outgrowth 1 (KIAA1893), mRNA.",,,,5,175955597-175955646,5q35.2d,-,NM_052899.1,114787,KIAA1893,1.1032720271348087,5.445649997748075,12.372808427988975,4.1864505396129033e-23,8.67797752812313e-22,41.809364208262856
LASS6,ILMN_1767662,"Homo sapiens LAG1 homolog, ceramide synthase 6 (LASS6), mRNA.",nucleus [goid 5634] [evidence IEA]; integral to membrane [goid 16021] [evidence IEA],"regulation of transcription, DNA-dependent [goid 6355] [evidence IEA]",sequence-specific DNA binding [goid 43565] [evidence IEA]; transcription factor activity [goid 3700] [evidence IEA],2,169339205-169339254,2q24.3f,+,NM_203463.1,253782,LASS6,1.127116338422379,10.598948377127845,12.361817797119002,4.444545285863751e-23,9.203184367168457e-22,41.74974560254041
ECT2,ILMN_1717173,"Homo sapiens epithelial cell transforming sequence 2 oncogene (ECT2), mRNA.",intracellular [goid 5622] [evidence IEA],positive regulation of I-kappaB kinase/NF-kappaB cascade [goid 43123] [pmid 12761501] [evidence IMP]; regulation of Rho protein signal transduction [goid 35023] [evidence IEA]; intracellular signaling cascade [goid 7242] [evidence IEA],Rho guanyl-nucleotide exchange factor activity [goid 5089] [evidence IEA]; signal transducer activity [goid 4871] [pmid 12761501] [evidence IMP]; GTPase activator activity [goid 5096] [evidence IEA]; protein binding [goid 5515] [pmid 16129829] [evidence IPI],3,174021849-174021898,3q26.31b,+,NM_018098.4,1894,ECT2,1.670057206040723,7.991607035624968,12.360456819460566,4.477595407118711e-23,9.261777760903193e-22,41.742362504020065
ARFGAP1,ILMN_1675709,"Homo sapiens ADP-ribosylation factor GTPase activating protein 1 (ARFGAP1), transcript variant 2, mRNA.",,regulation of GTPase activity [goid 43087] [evidence IEA]; protein transport [goid 15031] [evidence IEA]; regulation of GTPase activity [goid 43087] [evidence IEA]; protein transport [goid 15031] [evidence IEA],zinc ion binding [goid 8270] [evidence IEA]; metal ion binding [goid 46872] [evidence IEA]; GTPase activator activity [goid 5096] [evidence IEA]; zinc ion binding [goid 8270] [evidence IEA]; metal ion binding [goid 46872] [evidence IEA]; GTPase activator activity [goid 5096] [evidence IEA],20,61391358-61391407,20q13.33d,+,NM_175609.1,55738,ARFGAP1,1.4830268032283245,8.419696005998459,12.324535127396238,5.444844421006326e-23,1.1214883038404678e-21,41.54745450353695
ADM2,ILMN_1702933,"Homo sapiens adrenomedullin 2 (ADM2), mRNA.",,,hormone activity [goid 5179] [evidence IEA],22,49271611-49271660,22q13.33b,+,NM_024866.3,79924,ADM2,1.0470376790326972,7.860880500999561,12.318333078607594,5.631891237805047e-23,1.15878987084088e-21,41.513795320114454
RBP1,ILMN_1656837,"Homo sapiens retinol binding protein 1, cellular (RBP1), mRNA.",,transport [goid 6810] [evidence IEA]; vitamin A metabolism [goid 6776] [pmid 3472205] [evidence TAS],retinal binding [goid 16918] [evidence IEA]; retinol binding [goid 19841] [evidence IEA]; lipid binding [goid 8289] [evidence IEA],3,140719991-140720040,3q23a,-,NM_002899.2,5947,RBP1,-1.2443855583012216,9.559893964689545,-12.30983458026441,5.898697165956692e-23,1.212406268762301e-21,41.46766955125602
LOC652888,ILMN_1703060,"PREDICTED: Homo sapiens similar to synaptotagmin XV isoform b (LOC652888), mRNA.",,,,,,,,XM_942613.1,652888,LOC652888,-1.2353733494986958,5.516633324297738,-12.307882360664017,5.961753644228989e-23,1.2240755506617688e-21,41.45707326945228
KIF26B,ILMN_2055330,"Homo sapiens kinesin family member 26B (KIF26B), mRNA.",microtubule [goid 5874] [evidence IEA]; microtubule associated complex [goid 5875] [evidence IEA],microtubule-based movement [goid 7018] [evidence IEA],nucleotide binding [goid 166] [evidence IEA]; microtubule motor activity [goid 3777] [evidence IEA]; ATP binding [goid 5524] [evidence IEA],,,1q44b-q44c,,NM_018012.2,55083,KIF26B,1.3928837888013303,5.56267902120545,12.301585023133683,6.169797078156978e-23,1.265457853346197e-21,41.42289105285292
CST1,ILMN_1753449,"Homo sapiens cystatin SN (CST1), mRNA.",,,cysteine protease inhibitor activity [goid 4869] [pmid 3446578] [evidence TAS],20,23676424-23676452:23676453-23676473,20p11.21b,-,NM_001898.2,1469,CST1,3.9705950016783786,7.008657355398896,12.300437277406711,6.208491255274833e-23,1.2720552272242915e-21,41.41666080206786
SPINK1,ILMN_1787266,"Homo sapiens serine peptidase inhibitor, Kazal type 1 (SPINK1), mRNA.",,,serine-type endopeptidase inhibitor activity [goid 4867] [evidence IEA]; protein binding [goid 5515] [pmid 14507909] [evidence IPI],5,147189361-147189386:147191279-147191302,5q32e,-,NM_003122.2,6690,SPINK1,4.531810925122083,8.017067115041682,12.2967041313763,6.336037160383883e-23,1.29682441250084e-21,41.39639584543506
